标题,豆瓣评分,电影年份,故事简介…,链接,提取码
蚯蚓,7.2,2017,得了脑瘫的父亲李元术（金正均饰）和女儿李子若（吴艺雪饰）相依为命，住在江华岛。李元书为女儿考上首尔的贵族艺术高中兴奋不已，和女儿开心搬家到首尔。不料噩梦也就此开始。子若因为在唱诗班长大，音域很高，很…,https://pan.baidu.com/s/10uPxDBgw81mSjsYm7AGTNQ,2333
阿拉丁与神灯,6.2,2016,青年阿拉丁（凯文·亚当斯 Kev Adams 饰）在一次偶然的事件中得到一把神灯，触摸这把神灯就会出现一位神仙来满足他的愿望，穷小伙阿拉丁爱上了王国的公主（凡妮莎·吉德 Vanessa Guide …,https://pan.baidu.com/s/10q-c2updOjLWjL_6KXuWtg,2333
柏林综合症,6.2,2017,澳大利亚摄影记者克莱尔（泰莉莎·帕尔墨 Teresa Palmer 饰）在柏林度假时邂逅了当地男子安迪（马克思·雷迈特 Max Riemelt 饰），一见钟情的两人共度春宵，激情过后意想不到的危险来…,https://pan.baidu.com/s/10iqapJqRvCjjJ8yCbn4NWA,2333
马戏之王,7.8,2018,《马戏之王》取材自真人真事，好莱坞全能巨星休·杰克曼在片中饰演“马戏团鼻祖”、传奇人物P.T.巴纳姆。故事讲述了身处社会底层的巴纳姆依靠自己无穷想象力和锲而不舍的精神，从经营博物馆到一手开创世界上第…,https://pan.baidu.com/s/10ACA4rsc3Kg_MuRPaiCDhQ,bdl8
军火贩,7.3,2016,由《宿醉》导演托德·菲利普斯执导的喜剧片，根据真实故事改编。                                                                    　…,https://pan.baidu.com/s/1-ydBU7clqK4mQtA8O_r2FQ,bgnm
沃伦,8.3,2016,"生活在Volhynia的波兰女孩Zosia,爱上了一个乌克兰男孩，但是她的父母决定让她嫁给一个波兰鳏夫。不久，二战爆发，局势紧张，身处战乱中的Zosia，为了生存必须竭尽全力            …",https://pan.baidu.com/s/1-VGj8GLDxtzw3oZxXO9iZA,xij8
美国刺客,5.9,2017,米奇（迪伦•奥布莱恩Dylan O'Brien 饰）本是一位非常普通的美国青年，成长在一个幸福的家庭之中，有一个甜蜜交往的女友。然而，一场意外夺走了米奇父母的生命，让他沦为孤儿，米奇的女友也在恐怖袭…,https://pan.baidu.com/s/1-AsOZrhB-UcNvGnjEi7sKw,2333
寻梦环游记,9.1,2017,热爱音乐的米格尔（安东尼·冈萨雷兹 Anthony Gonzalez 配音）不幸地出生在一个视音乐为洪水猛兽的大家庭之中，一家人只盼着米格尔快快长大，好继承家里传承了数代的制鞋产业。一年一度的亡灵节…,https://pan.baidu.com/s/1_TXgembqn0JhHKweKypUhA,98ek
闪光少女,7.3,2017,陈惊（徐璐饰）是一个古灵精怪、敢爱敢恨的姑娘，江湖人称“神经”。作为音乐附中的奇葩人物，陈惊人缘欠佳只有男闺蜜“油渣”（彭昱畅饰）甘愿为她鞍前马后。自信满满的陈惊恋上了校草师哥，不料却遭到校草的嘲笑…,https://pan.baidu.com/s/1_nU4JomKtDFvUvp7aIMadA,2333
奇妙幽灵,6.0,2018,以忠清南道洪城为背景，意外事故而失去妻子后不恋工作，重心全放在女儿身上的柔道馆馆长“张洙”（马东锡饰）。眼中决不容忍不法行为，毫无融通性的敬业检察官“泰振”（金英光饰）。成为邻居的两人自见面后便彼此…,https://pan.baidu.com/s/1_JVzoKfWwS86IuayiRXOFw,0srj
